
<<< setup

 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 838 variables, 1,184 constraints
 ! Presolve      : 349 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.03s (0.03s extraction + 0.01s propagation)
 !  . Log search space  : 243.2 (before), 243.2 (after)
 !  . Memory usage      : 4.1 MB (before), 4.1 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        640                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             4      213  0.18s        1      (gap is 100.0%)
 ! Using failure-directed search.
               4      675          6    1         1 >= vUsed(5)
 + New bound is 1 (gap is 75.00%)
               4      875          6    1         1 >= vUsed(6)
 + New bound is 2 (gap is 50.00%)
               4    1,151        436    1   F         !presenceOf(itvJ2V#71#5)
 + New bound is 3 (gap is 25.00%)
               4   34,498        277    1   F         !presenceOf(itvJ2V#73#1)
 + New bound is 4 (gap is 0.00%)
 ! ----------------------------------------------------------------------------
 ! Search completed, 1 solution found.
 ! Best objective         : 4 (optimal - effective tol. is 0)
 ! Best bound             : 4
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 262,893
 ! Number of fails        : 153,713
 ! Total memory usage     : 69.5 MB (69.1 MB CP Optimizer + 0.4 MB Concert)
 ! Time spent in solve    : 5.38s (5.35s engine + 0.03s extraction)
 ! Search speed (br. / s) : 49,148.1
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
8	mission	8	219	337
7	mission	8	337	455
15	mission	8	455	573
14	mission	8	573	691
2	mission	8	691	809
4	mission	8	809	927
15	mission	8	927	1045
5	mission	8	1045	1163
13	mission	8	1163	1281
10	mission	8	1281	1399
2	mission	8	1399	1440
1	charge	0	128	133
9	charge	0	258	263
12	charge	0	388	393
4	charge	0	518	523
3	charge	0	648	653
1	charge	0	778	783
14	charge	0	908	913
11	charge	0	1038	1043
14	charge	0	1168	1173
7	charge	0	1298	1303
1	charge	0	1428	1433
2	charge	0	117	122
10	charge	0	247	252
2	charge	0	377	382
9	charge	0	507	512
6	charge	0	637	642
5	charge	0	767	772
13	charge	0	897	902
6	charge	0	1027	1032
10	charge	0	1157	1162
9	charge	0	1287	1292
4	charge	0	1417	1422
3	charge	0	154	159
7	charge	0	284	289
15	charge	0	414	419
1	charge	0	544	549
10	charge	0	674	679
11	charge	0	804	809
8	charge	0	934	939
7	charge	0	1064	1069
4	charge	0	1194	1199
11	charge	0	1324	1329
4	charge	0	104	109
11	charge	0	246	251
6	charge	0	388	393
14	charge	0	530	535
13	charge	0	672	677
9	charge	0	814	819
10	charge	0	956	961
2	charge	0	1098	1103
1	charge	0	1240	1245
12	charge	0	1382	1387
5	charge	0	122	127
14	charge	0	242	247
5	charge	0	362	367
13	charge	0	482	487
2	charge	0	602	607
4	charge	0	722	727
15	charge	0	842	847
5	charge	0	962	967
13	charge	0	1082	1087
8	charge	0	1202	1207
2	charge	0	1322	1327
6	charge	0	192	197
1	charge	0	358	363
11	charge	0	524	529
8	charge	0	690	695
12	charge	0	856	861
9	charge	0	1022	1027
3	charge	0	1188	1193
14	charge	0	1354	1359
7	charge	0	75	80
15	charge	0	213	218
3	charge	0	351	356
10	charge	0	489	494
12	charge	0	627	632
7	charge	0	765	770
3	charge	0	903	908
1	charge	0	1041	1046
12	charge	0	1179	1184
15	charge	0	1317	1322
8	charge	0	132	137
13	charge	0	250	255
8	charge	0	368	373
7	charge	0	486	491
15	charge	0	604	609
14	charge	0	722	727
2	charge	0	840	845
4	charge	0	958	963
15	charge	0	1076	1081
5	charge	0	1194	1199
13	charge	0	1312	1317
10	charge	0	1430	1435
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 563 variables, 3,109 constraints
 ! Presolve      : 167,199 extractables eliminated
 ! TimeLimit            = 600
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.08s (0.08s extraction + 0.00s propagation)
 !  . Log search space  : 346.7 (before), 346.7 (after)
 !  . Memory usage      : 99.0 MB (before), 99.0 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        563                 -
 + New bound is 50,000
 *        52,123      516  0.52s        1      (gap is 4.07%)
 *        52,049    1,061  0.52s        1      (gap is 3.94%)
 *        51,933    1,413  0.53s        1      (gap is 3.72%)
 *        51,779    2,056  1.13s        1      (gap is 3.44%)
 *        51,770    3,767  1.13s        1      (gap is 3.42%)
 *        51,751    4,525  1.15s        1      (gap is 3.38%)
 *        51,742    5,163  1.15s        1      (gap is 3.37%)
 *        51,716    5,367  1.16s        1      (gap is 3.32%)
 *        51,674    5,624  1.17s        1      (gap is 3.24%)
 *        51,667    6,047  1.18s        1      (gap is 3.23%)
 *        51,645    8,986  1.18s        1      (gap is 3.19%)
 *        51,575   10,573  1.18s        1      (gap is 3.05%)
 *        51,526   11,223  1.19s        3      (gap is 2.96%)
 *        51,512   10,528  1.22s       12      (gap is 2.94%)
 *        51,476   11,531  1.22s        3      (gap is 2.87%)
 *        51,457   12,224  1.24s        3      (gap is 2.83%)
 *        51,443   14,275  1.35s        3      (gap is 2.81%)
 *        51,425   16,324  1.36s        8      (gap is 2.77%)
 *        51,420   15,676  1.44s        1      (gap is 2.76%)
 ! Time = 1.44s, Average fail depth = 25, Memory usage = 183.3 MB
 ! Current bound is 50,000 (gap is 2.76%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        51,403   16,599  1.47s        8      (gap is 2.73%)
 *        51,385   13,035  1.48s       12      (gap is 2.70%)
 *        51,367   14,042  1.49s       12      (gap is 2.66%)
 *        51,349   14,174  1.49s       12      (gap is 2.63%)
 *        51,312   17,995  1.54s        1      (gap is 2.56%)
 *        51,310   18,844  1.62s        1      (gap is 2.55%)
 *        51,275   20,610  1.70s        1      (gap is 2.49%)
 *        51,254   20,748  1.70s        1      (gap is 2.45%)
 *        51,243   22,899  1.86s        1      (gap is 2.43%)
 *        51,241   20,237  1.88s       11      (gap is 2.42%)
 *        51,199   21,420  1.95s        3      (gap is 2.34%)
 *        51,191   21,357  1.95s        6      (gap is 2.33%)
 *        51,190   16,899  2.03s       16      (gap is 2.32%)
 *        51,165   22,897  2.03s        6      (gap is 2.28%)
 *        51,161   20,148  2.12s       15      (gap is 2.27%)
 *        51,123   25,352  2.12s       12      (gap is 2.20%)
 *        51,096   29,442  2.38s        8      (gap is 2.14%)
 *        51,075   27,504  2.38s       10      (gap is 2.10%)
 *        51,027   32,576  2.46s        1      (gap is 2.01%)
 *        51,018   38,009  2.87s        3      (gap is 2.00%)
 ! Time = 2.87s, Average fail depth = 23, Memory usage = 179.8 MB
 ! Current bound is 50,000 (gap is 2.00%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        51,013   36,973  2.96s        5      (gap is 1.99%)
 *        51,002   33,354  2.97s       15      (gap is 1.96%)
 *        50,997   40,096  2.99s        1      (gap is 1.96%)
 *        50,994   35,056  3.04s        6      (gap is 1.95%)
 *        50,993   37,095  3.05s       10      (gap is 1.95%)
 *        50,989   45,427  3.37s        3      (gap is 1.94%)
 *        50,984   41,905  3.37s        8      (gap is 1.93%)
 *        50,980   42,344  3.45s        7      (gap is 1.92%)
 *        50,972   48,026  3.56s        3      (gap is 1.91%)
 *        50,971   48,407  3.56s        3      (gap is 1.91%)
 *        50,929   42,901  3.64s        4      (gap is 1.82%)
 *        50,920   71,283  5.65s        1      (gap is 1.81%)
 *        50,916     115k  8.81s       10      (gap is 1.80%)
 *        50,907     422k  35.63s       4      (gap is 1.78%)
 *        50,851   1,074k  92.83s      12      (gap is 1.67%)
 *        50,850   4,981k  459.77s     16      (gap is 1.67%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 55 solutions found.
 ! Best objective         : 50,850 (gap is 1.67%)
 ! Best bound             : 50,000
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 104,305,037
 ! Number of fails        : 49,422,305
 ! Total memory usage     : 264.8 MB (183.3 MB CP Optimizer + 81.5 MB Concert)
 ! Time spent in solve    : 600.09s (600.01s engine + 0.08s extraction)
 ! Search speed (br. / s) : 173,840.9
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	charge	1	908	913
1	charge	1	1298	1303
1	charge	1	1428	1433
1	charge	4	388	393
1	charge	4	530	535
1	charge	4	672	677
1	charge	4	814	819
1	charge	4	956	961
1	charge	4	1098	1103
1	charge	4	1240	1245
1	charge	5	122	127
1	charge	5	242	247
1	charge	5	362	367
1	charge	5	482	487
1	charge	5	602	607
1	charge	6	856	861
1	charge	6	1022	1027
1	charge	6	1188	1193
1	return	0	1458	1458
1	start	0	0	0
2	charge	2	117	122
2	charge	2	247	252
2	charge	2	377	382
2	charge	2	507	512
2	charge	2	637	642
2	charge	2	767	772
2	charge	2	897	902
2	charge	2	1027	1032
2	charge	2	1157	1162
2	charge	2	1287	1292
2	charge	2	1417	1422
2	charge	3	154	159
2	charge	3	284	289
2	charge	3	414	419
2	charge	3	544	549
2	charge	3	674	679
2	charge	3	804	809
2	charge	3	934	939
2	charge	3	1064	1069
2	charge	3	1194	1199
2	charge	3	1324	1329
2	return	0	1447	1447
2	start	0	0	0
3	charge	7	75	80
3	charge	7	213	218
3	charge	8	132	137
3	charge	8	250	255
3	charge	8	368	373
3	charge	8	486	491
3	charge	8	604	609
3	charge	8	722	727
3	charge	8	840	845
3	charge	8	958	963
3	charge	8	1076	1081
3	charge	8	1194	1199
3	charge	8	1312	1317
3	charge	8	1430	1435
3	start	0	0	0
3	return	0	1466	1466
4	charge	1	128	133
4	charge	1	258	263
4	charge	6	524	529
4	charge	6	1354	1359
4	charge	7	351	356
4	charge	7	489	494
4	charge	7	627	632
4	charge	7	765	770
4	charge	7	903	908
4	charge	7	1041	1046
4	charge	7	1179	1184
4	charge	7	1317	1322
4	start	0	0	0
4	return	0	1366	1366
5	charge	1	388	393
5	charge	1	518	523
5	charge	1	648	653
5	charge	1	778	783
5	charge	1	1038	1043
5	charge	1	1168	1173
5	charge	4	104	109
5	charge	4	246	251
5	charge	4	1382	1387
5	charge	5	722	727
5	charge	5	842	847
5	charge	5	962	967
5	charge	5	1082	1087
5	charge	5	1202	1207
5	charge	5	1322	1327
5	charge	6	192	197
5	charge	6	358	363
5	charge	6	690	695
5	start	0	0	0
5	return	0	1406	1406
Version identifier: 20.1.0.0 | 2020-11-10 | 9bedb6d68
CPXPARAM_TimeLimit                               600
CPXPARAM_MIP_Tolerances_AbsMIPGap                0.050000000000000003
CPXPARAM_MIP_Tolerances_MIPGap                   0.050000000000000003
Tried aggregator 1 time.
MIP Presolve eliminated 55800 rows and 29928 columns.
MIP Presolve modified 5280 coefficients.
Reduced MIP has 3427 rows, 28552 columns, and 88280 nonzeros.
Reduced MIP has 28536 binaries, 16 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.31 sec. (77.31 ticks)
Tried aggregator 1 time.
Detecting symmetries...
MIP Presolve modified 4000 coefficients.
Reduced MIP has 3427 rows, 28552 columns, and 88280 nonzeros.
Reduced MIP has 28536 binaries, 16 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.17 sec. (62.32 ticks)
Probing fixed 85 vars, tightened 0 bounds.
Probing time = 0.77 sec. (198.12 ticks)
Cover probing fixed 0 vars, tightened 32 bounds.
Clique table members: 58569.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 16 threads.
Root relaxation solution time = 0.70 sec. (186.17 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0     0      integral     0    50845.0000    50845.0000       20    0.00%
Elapsed time = 3.81 sec. (1264.46 ticks, tree = 0.00 MB, solutions = 1)

Root node processing (before b&c):
  Real time             =    3.94 sec. (1266.54 ticks)
Parallel b&c, 16 threads:
  Real time             =    0.00 sec. (0.00 ticks)
  Sync time (average)   =    0.00 sec.
  Wait time (average)   =    0.00 sec.
                          ------------
Total (root+branch&cut) =    3.94 sec. (1266.54 ticks)
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 3,654 variables, 5,271 constraints
 ! Presolve      : 168,829 extractables eliminated
 ! TimeLimit            = 600
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.53s (0.53s extraction + 0.00s propagation)
 !  . Log search space  : 708.5 (before), 708.5 (after)
 !  . Memory usage      : 98.6 MB (before), 98.6 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0      2,975                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             9      451  10.78s       1      (gap is 100.0%)
 *             8    1,280  10.80s       1      (gap is 100.0%)
 ! Using failure-directed search.
               8    2,650      1,752    1         1 >= vUsed(10)
 + New bound is 1 (gap is 87.50%)
               8    4,288      1,601    1         1 >= vUsed(11)
 + New bound is 2 (gap is 75.00%)
               8    4,632      1,601    1   F     1 >= vUsed(16)
 + New bound is 3 (gap is 62.50%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 2 solutions found.
 ! Best objective         : 8 (gap is 62.50%)
 ! Best bound             : 3
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 6,763,746
 ! Number of fails        : 3,139,364
 ! Total memory usage     : 454.5 MB (371.8 MB CP Optimizer + 82.7 MB Concert)
 ! Time spent in solve    : 600.38s (599.85s engine + 0.53s extraction)
 ! Search speed (br. / s) : 11,275.8
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	mission	1	0	135
9	mission	1	135	261
6	mission	1	261	387
13	mission	1	387	513
17	mission	1	513	639
9	mission	1	639	765
11	mission	1	765	891
10	mission	1	891	1017
1	mission	1	1017	1143
7	mission	1	1143	1269
2	mission	1	1269	1395
11	mission	1	1395	1440
2	mission	2	0	57
17	mission	2	57	213
4	mission	2	213	369
14	mission	2	369	525
16	mission	2	525	681
5	mission	2	681	837
13	mission	2	837	993
14	mission	2	993	1149
11	mission	2	1149	1305
6	mission	2	1305	1440
3	mission	3	0	173
5	mission	3	173	335
1	mission	3	335	497
3	mission	3	497	659
2	mission	3	659	821
6	mission	3	821	983
8	mission	3	983	1145
13	mission	3	1145	1307
5	mission	3	1307	1440
4	mission	4	0	115
15	mission	4	115	245
7	mission	4	245	375
10	mission	4	375	505
7	mission	4	505	635
12	mission	4	635	765
4	mission	4	765	895
5	mission	4	895	1025
17	mission	4	1025	1155
12	mission	4	1155	1285
8	mission	4	1285	1415
5	mission	5	0	118
14	mission	5	118	254
17	mission	5	254	390
15	mission	5	390	526
8	mission	5	526	662
13	mission	5	662	798
14	mission	5	798	934
9	mission	5	934	1070
16	mission	5	1070	1206
4	mission	5	1206	1342
15	mission	5	1342	1440
6	mission	6	0	122
13	mission	6	122	264
8	mission	6	264	406
9	mission	6	406	548
1	mission	6	548	690
7	mission	6	690	832
16	mission	6	832	974
15	mission	6	974	1116
5	mission	6	1116	1258
16	mission	6	1258	1400
9	mission	6	1400	1440
7	mission	7	0	74
11	mission	7	74	224
16	mission	7	224	374
12	mission	7	374	524
11	mission	7	524	674
10	mission	7	674	824
3	mission	7	824	974
4	mission	7	974	1124
10	mission	7	1124	1274
17	mission	7	1274	1424
1	mission	7	1424	1440
8	mission	8	0	131
10	mission	8	131	271
11	mission	8	271	411
2	mission	8	411	551
4	mission	8	551	691
17	mission	8	691	831
12	mission	8	831	971
11	mission	8	971	1111
3	mission	8	1111	1251
14	mission	8	1251	1391
4	mission	8	1391	1440
9	mission	9	0	72
12	mission	9	72	190
2	mission	9	190	308
3	mission	9	308	426
5	mission	9	426	544
6	mission	9	544	662
15	mission	9	662	780
8	mission	9	780	898
7	mission	9	898	1016
2	mission	9	1016	1134
9	mission	9	1134	1252
1	mission	9	1252	1370
10	mission	9	1370	1440
1	charge	0	162	167
9	charge	0	288	293
6	charge	0	414	419
13	charge	0	540	545
17	charge	0	666	671
9	charge	0	792	797
11	charge	0	918	923
10	charge	0	1044	1049
1	charge	0	1170	1175
7	charge	0	1296	1301
2	charge	0	1422	1427
2	charge	0	69	74
17	charge	0	225	230
4	charge	0	381	386
14	charge	0	537	542
16	charge	0	693	698
5	charge	0	849	854
13	charge	0	1005	1010
14	charge	0	1161	1166
11	charge	0	1317	1322
3	charge	0	182	187
5	charge	0	344	349
1	charge	0	506	511
3	charge	0	668	673
2	charge	0	830	835
6	charge	0	992	997
8	charge	0	1154	1159
13	charge	0	1316	1321
4	charge	0	140	145
15	charge	0	270	275
7	charge	0	400	405
10	charge	0	530	535
7	charge	0	660	665
12	charge	0	790	795
4	charge	0	920	925
5	charge	0	1050	1055
17	charge	0	1180	1185
12	charge	0	1310	1315
5	charge	0	140	145
14	charge	0	276	281
17	charge	0	412	417
15	charge	0	548	553
8	charge	0	684	689
13	charge	0	820	825
14	charge	0	956	961
9	charge	0	1092	1097
16	charge	0	1228	1233
4	charge	0	1364	1369
6	charge	0	141	146
13	charge	0	283	288
8	charge	0	425	430
9	charge	0	567	572
1	charge	0	709	714
7	charge	0	851	856
16	charge	0	993	998
15	charge	0	1135	1140
5	charge	0	1277	1282
16	charge	0	1419	1424
7	charge	0	89	94
11	charge	0	239	244
16	charge	0	389	394
12	charge	0	539	544
11	charge	0	689	694
10	charge	0	839	844
3	charge	0	989	994
4	charge	0	1139	1144
10	charge	0	1289	1294
17	charge	0	1439	1440
8	charge	0	151	156
10	charge	0	291	296
11	charge	0	431	436
2	charge	0	571	576
4	charge	0	711	716
17	charge	0	851	856
12	charge	0	991	996
11	charge	0	1131	1136
3	charge	0	1271	1276
14	charge	0	1411	1416
9	charge	0	103	108
12	charge	0	221	226
2	charge	0	339	344
3	charge	0	457	462
5	charge	0	575	580
6	charge	0	693	698
15	charge	0	811	816
8	charge	0	929	934
7	charge	0	1047	1052
2	charge	0	1165	1170
9	charge	0	1283	1288
1	charge	0	1401	1406
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 605 variables, 3,340 constraints
 ! Presolve      : 168,829 extractables eliminated
 ! TimeLimit            = 600
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.09s (0.09s extraction + 0.00s propagation)
 !  . Log search space  : 365.1 (before), 365.1 (after)
 !  . Memory usage      : 100.4 MB (before), 100.4 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        605                 -
 + New bound is 50,000
 *        52,033      539  0.54s        1      (gap is 3.91%)
 *        51,859    1,556  0.55s        1      (gap is 3.58%)
 *        51,852    1,614  0.56s        1      (gap is 3.57%)
 *        51,831    2,336  0.60s        9      (gap is 3.53%)
 *        51,829    2,644  1.16s        1      (gap is 3.53%)
 *        51,745    3,914  1.16s        1      (gap is 3.37%)
 *        51,731    4,522  1.16s        1      (gap is 3.35%)
 *        51,666    5,602  1.17s        1      (gap is 3.22%)
 *        51,544    7,202  1.17s        1      (gap is 3.00%)
 *        51,459    8,617  1.18s        1      (gap is 2.84%)
 *        51,455    9,711  1.18s        1      (gap is 2.83%)
 *        51,441    9,984  1.19s        1      (gap is 2.80%)
 *        51,432   10,172  1.19s        1      (gap is 2.78%)
 *        51,412   10,715  1.22s        3      (gap is 2.75%)
 *        51,407   12,274  1.28s        3      (gap is 2.74%)
 *        51,404   13,822  1.39s        3      (gap is 2.73%)
 *        51,380   12,856  1.40s        6      (gap is 2.69%)
 *        51,377   13,561  1.48s        6      (gap is 2.68%)
 *        51,371   12,819  1.58s        2      (gap is 2.67%)
 ! Time = 1.58s, Average fail depth = 23, Memory usage = 189.1 MB
 ! Current bound is 50,000 (gap is 2.67%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        51,320   12,968  1.59s        2      (gap is 2.57%)
 *        51,318   13,574  1.68s        2      (gap is 2.57%)
 *        51,277   18,884  1.76s        1      (gap is 2.49%)
 *        51,258   19,341  1.76s        1      (gap is 2.45%)
 *        51,245   21,585  1.94s        1      (gap is 2.43%)
 *        51,239   22,108  1.95s        1      (gap is 2.42%)
 *        51,216   22,850  1.96s        1      (gap is 2.37%)
 *        51,195   23,224  2.03s        1      (gap is 2.33%)
 *        51,193   23,873  2.04s        1      (gap is 2.33%)
 *        51,180   28,572  2.31s        7      (gap is 2.31%)
 *        51,148   30,454  2.31s        7      (gap is 2.24%)
 *        51,142   29,340  2.40s       12      (gap is 2.23%)
 *        51,128   27,533  2.40s        3      (gap is 2.21%)
 *        51,118   29,553  2.49s       11      (gap is 2.19%)
 *        51,099   23,071  2.49s       16      (gap is 2.15%)
 *        51,088   26,842  2.58s       10      (gap is 2.13%)
 *        51,087   33,285  2.76s       12      (gap is 2.13%)
 *        51,086   33,560  2.76s       12      (gap is 2.13%)
 *        51,081   26,788  2.77s       16      (gap is 2.12%)
 *        51,037   28,096  2.88s        6      (gap is 2.03%)
 ! Time = 2.88s, Average fail depth = 23, Memory usage = 188.0 MB
 ! Current bound is 50,000 (gap is 2.03%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        51,016   37,719  3.01s       12      (gap is 1.99%)
 *        51,015   42,667  3.26s       12      (gap is 1.99%)
 *        51,014   36,245  3.35s       10      (gap is 1.99%)
 *        51,007   48,803  3.76s       14      (gap is 1.97%)
 *        51,001   43,754  4.02s        4      (gap is 1.96%)
 *        50,994   58,717  5.03s        6      (gap is 1.95%)
 *        50,978   73,292  5.88s       11      (gap is 1.92%)
 *        50,959   98,241  8.31s       11      (gap is 1.88%)
 *        50,935     269k  21.94s       9      (gap is 1.84%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 48 solutions found.
 ! Best objective         : 50,935 (gap is 1.84%)
 ! Best bound             : 50,000
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 102,298,438
 ! Number of fails        : 48,293,372
 ! Total memory usage     : 272.7 MB (190.3 MB CP Optimizer + 82.4 MB Concert)
 ! Time spent in solve    : 600.07s (599.99s engine + 0.09s extraction)
 ! Search speed (br. / s) : 170,501.7
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	charge	2	69	74
1	charge	2	381	386
1	charge	3	668	673
1	charge	3	1154	1159
1	charge	3	1316	1321
1	charge	6	567	572
1	charge	6	709	714
1	charge	7	539	544
1	charge	7	689	694
1	charge	7	839	844
1	charge	7	989	994
1	charge	7	1139	1144
1	charge	8	151	156
1	charge	8	291	296
1	charge	8	431	436
1	return	0	1330	1330
1	start	0	0	0
2	charge	1	1044	1049
2	charge	1	1170	1175
2	charge	2	225	230
2	charge	2	537	542
2	charge	2	693	698
2	charge	3	182	187
2	charge	3	344	349
2	charge	3	506	511
2	charge	6	141	146
2	charge	6	283	288
2	charge	6	425	430
2	charge	6	1135	1140
2	charge	6	1277	1282
2	charge	6	1419	1424
2	charge	7	89	94
2	charge	7	239	244
2	charge	7	389	394
2	charge	7	1439	1440
2	charge	8	571	576
2	charge	8	711	716
2	charge	8	851	856
2	charge	8	991	996
2	start	0	0	0
2	return	0	1455	1455
3	charge	2	849	854
3	charge	3	830	835
3	charge	4	140	145
3	charge	4	270	275
3	charge	4	400	405
3	charge	4	530	535
3	charge	4	660	665
3	charge	4	790	795
3	charge	4	1050	1055
3	charge	4	1180	1185
3	charge	4	1310	1315
3	charge	5	1092	1097
3	charge	5	1228	1233
3	charge	5	1364	1369
3	charge	6	993	998
3	start	0	0	0
3	return	0	1391	1391
4	charge	1	162	167
4	charge	1	288	293
4	charge	1	414	419
4	charge	1	540	545
4	charge	1	666	671
4	charge	1	792	797
4	charge	1	918	923
4	charge	1	1296	1301
4	charge	1	1422	1427
4	charge	6	851	856
4	charge	9	103	108
4	charge	9	221	226
4	charge	9	339	344
4	charge	9	457	462
4	charge	9	575	580
4	charge	9	693	698
4	charge	9	811	816
4	charge	9	929	934
4	charge	9	1047	1052
4	charge	9	1165	1170
4	charge	9	1283	1288
4	charge	9	1401	1406
4	start	0	0	0
4	return	0	1454	1454
5	charge	2	1005	1010
5	charge	2	1161	1166
5	charge	2	1317	1322
5	charge	3	992	997
5	charge	4	920	925
5	charge	5	140	145
5	charge	5	276	281
5	charge	5	412	417
5	charge	5	548	553
5	charge	5	684	689
5	charge	5	820	825
5	charge	5	956	961
5	charge	7	1289	1294
5	charge	8	1131	1136
5	charge	8	1271	1276
5	charge	8	1411	1416
5	return	0	1436	1436
5	start	0	0	0
Version identifier: 20.1.0.0 | 2020-11-10 | 9bedb6d68
CPXPARAM_TimeLimit                               600
CPXPARAM_MIP_Tolerances_AbsMIPGap                0.050000000000000003
CPXPARAM_MIP_Tolerances_MIPGap                   0.050000000000000003
Tried aggregator 1 time.
MIP Presolve eliminated 73737 rows and 39258 columns.
MIP Presolve modified 6444 coefficients.
Reduced MIP has 4167 rows, 37746 columns, and 116442 nonzeros.
Reduced MIP has 37728 binaries, 18 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.34 sec. (101.50 ticks)
Tried aggregator 1 time.
Detecting symmetries...
MIP Presolve modified 4878 coefficients.
Reduced MIP has 4167 rows, 37746 columns, and 116442 nonzeros.
Reduced MIP has 37728 binaries, 18 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.22 sec. (80.16 ticks)
Probing fixed 189 vars, tightened 0 bounds.
Probing time = 1.33 sec. (219.01 ticks)
Cover probing fixed 0 vars, tightened 45 bounds.
Clique table members: 77257.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 16 threads.
Root relaxation solution time = 0.70 sec. (203.78 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

      0     0    50902.0000   607                  50902.0000       18         
*     0+    0                        50918.0000    50902.0000             0.03%

Implied bound cuts applied:  2
Gomory fractional cuts applied:  1

Root node processing (before b&c):
  Real time             =    7.55 sec. (3241.56 ticks)
Parallel b&c, 16 threads:
  Real time             =    0.00 sec. (0.00 ticks)
  Sync time (average)   =    0.00 sec.
  Wait time (average)   =    0.00 sec.
                          ------------
Total (root+branch&cut) =    7.55 sec. (3241.56 ticks)
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 4,480 variables, 6,476 constraints
 ! Presolve      : 170,840 extractables eliminated
 ! TimeLimit            = 600
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.65s (0.65s extraction + 0.01s propagation)
 !  . Log search space  : 815.4 (before), 815.4 (after)
 !  . Memory usage      : 100.3 MB (before), 100.3 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0      3,662                 -
 + New bound is 0
 ! Using temporal relaxation.
 *            10      501  10.76s       1      (gap is 100.0%)
 *             9    1,567  10.77s       1      (gap is 100.0%)
 ! Using failure-directed search.
 *             6    2,604  10.77s       4      (gap is 100.0%)
               6    3,878      2,137    1         1 >= vUsed(11)
 + New bound is 1 (gap is 83.33%)
               6    4,605      1,946    1         1 >= vUsed(12)
 + New bound is 2 (gap is 66.67%)
               6    5,157      1,820    1   F         !presenceOf(itvJ2V#127#11)
